Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2019-06-30,24.72,24.72,24.72,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2019-07-07,24.68,24.68,24.68,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2019-07-14,24.54,24.54,24.54,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2019-07-21,24.75,24.75,24.75,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2019-07-28,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2019-08-04,23.35,23.35,23.35,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2019-08-11,22.58,22.58,22.58,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2019-08-18,22.95,22.95,22.95,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.39,22.39,22.39,0.0,0.0
2019-08-25,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2019-09-01,23.62,23.62,23.62,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.71,23.71,23.71,0.0,0.0
